lr-Adam,created_at,loss/train,epoch,loss/val,score/val
0.0005,2021-07-22 03:46:37.229654,,,,
,2021-07-22 03:46:49.217955,1407.89501953125,0.0,,
,2021-07-22 03:46:52.966452,,0.0,761.9393920898438,2.0233120918273926
0.0005,2021-07-22 03:46:52.990082,,,,
,2021-07-22 03:47:05.224669,225.226318359375,1.0,,
,2021-07-22 03:47:09.269803,,1.0,165.30734252929688,1.5193324089050293
0.0005,2021-07-22 03:47:09.284284,,,,
,2021-07-22 03:47:21.815367,114.93743896484375,2.0,,
,2021-07-22 03:47:25.858503,,2.0,143.80899047851562,1.33930504322052
0.0005,2021-07-22 03:47:25.881777,,,,
,2021-07-22 03:47:38.261591,110.76914978027344,3.0,,
,2021-07-22 03:47:42.123999,,3.0,93.8155288696289,0.87256920337677
0.0005,2021-07-22 03:47:42.144876,,,,
,2021-07-22 03:47:54.327655,107.7701644897461,4.0,,
,2021-07-22 03:47:57.458305,,4.0,102.63555908203125,0.967307984828949
0.0005,2021-07-22 03:47:57.472745,,,,
,2021-07-22 03:48:09.584798,110.86262512207031,5.0,,
,2021-07-22 03:48:12.762816,,5.0,97.553466796875,0.9102712869644165
0.0005,2021-07-22 03:48:12.778508,,,,
,2021-07-22 03:48:25.229554,106.69100952148438,6.0,,
,2021-07-22 03:48:28.526430,,6.0,97.69599151611328,0.9169638752937317
0.0005,2021-07-22 03:48:28.546260,,,,
,2021-07-22 03:48:41.100030,106.88821411132812,7.0,,
,2021-07-22 03:48:44.286046,,7.0,105.71282196044922,1.0071189403533936
0.0005,2021-07-22 03:48:44.301404,,,,
,2021-07-22 03:48:56.370208,107.68406677246094,8.0,,
,2021-07-22 03:48:59.555208,,8.0,94.06781768798828,0.8736394047737122
0.0005,2021-07-22 03:48:59.570039,,,,
,2021-07-22 03:49:11.831036,108.77798461914062,9.0,,
,2021-07-22 03:49:15.024591,,9.0,100.31185913085938,0.9422719478607178
0.0005,2021-07-22 03:49:15.039596,,,,
,2021-07-22 03:49:27.254741,104.32503509521484,10.0,,
,2021-07-22 03:49:30.631466,,10.0,101.73113250732422,0.9650970101356506
0.0005,2021-07-22 03:49:30.648869,,,,
,2021-07-22 03:49:43.209872,107.54652404785156,11.0,,
,2021-07-22 03:49:47.008091,,11.0,90.61895751953125,0.8516712784767151
0.0005,2021-07-22 03:49:47.032824,,,,
,2021-07-22 03:49:59.071429,107.70659637451172,12.0,,
,2021-07-22 03:50:02.402919,,12.0,97.47698211669922,0.9171837568283081
0.0005,2021-07-22 03:50:02.419260,,,,
,2021-07-22 03:50:14.474138,104.6481704711914,13.0,,
,2021-07-22 03:50:17.624454,,13.0,99.7018814086914,0.9401717782020569
0.0005,2021-07-22 03:50:17.639720,,,,
